/home/kana5123/miniconda3/envs/interp/lib/python3.10/site-packages/transformers/models/auto/image_processing_auto.py:647: FutureWarning: The image_processor_class argument is deprecated and will be removed in v4.42. Please use `slow_image_processor_class`, or `fast_image_processor_class` instead
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
  D0 [70/175] skill=fold NLL=16.560 top1=0.9796 H=0.141
  D0 [71/175] skill=fold NLL=15.227 top1=0.7025 H=2.095
  D0 [72/175] skill=close NLL=14.299 top1=0.2495 H=4.648
  D0 [73/175] skill=close NLL=14.836 top1=0.6961 H=1.811
  D0 [74/175] skill=place NLL=14.573 top1=0.5314 H=1.946
  D0 [75/175] skill=fold NLL=13.132 top1=0.4452 H=3.210
  D0 [76/175] skill=turn NLL=14.270 top1=0.3584 H=2.035
  D0 [77/175] skill=place NLL=13.681 top1=0.3434 H=5.683
  D0 [78/175] skill=pick NLL=12.958 top1=0.4484 H=2.633
  D0 [79/175] skill=close NLL=11.161 top1=0.4343 H=1.976
  D0 [80/175] skill=place NLL=15.320 top1=0.6396 H=1.956
  D0 [81/175] skill=place NLL=13.629 top1=0.8745 H=0.760
  D0 [82/175] skill=fold NLL=11.624 top1=0.4784 H=3.180
  D0 [83/175] skill=place NLL=14.748 top1=0.9325 H=0.379
  D0 [84/175] skill=close NLL=15.472 top1=0.5417 H=2.002
  D0 [85/175] skill=turn NLL=13.161 top1=0.3874 H=3.468
  D0 [86/175] skill=place NLL=15.818 top1=0.9482 H=0.224
  D0 [87/175] skill=place NLL=16.608 top1=0.8132 H=0.717
  D0 [88/175] skill=pick NLL=16.386 top1=0.8742 H=0.486
  D0 [89/175] skill=place NLL=11.524 top1=0.6566 H=1.300
  D0 [90/175] skill=open NLL=12.202 top1=0.5585 H=1.520
  D0 [91/175] skill=place NLL=17.090 top1=0.8151 H=0.720
  D0 [92/175] skill=turn NLL=14.581 top1=0.6655 H=1.055
  D0 [93/175] skill=close NLL=13.291 top1=0.3702 H=4.444
  D0 [94/175] skill=move NLL=15.246 top1=0.1930 H=5.044
  D0 [95/175] skill=close NLL=16.140 top1=0.3678 H=2.563
  D0 [96/175] skill=open NLL=13.561 top1=0.0908 H=6.842
  D0 [97/175] skill=pick NLL=15.674 top1=0.2626 H=2.325
  D0 [98/175] skill=place NLL=15.876 top1=0.4242 H=2.701
  D0 [99/175] skill=move NLL=14.869 top1=0.5655 H=1.791
  D0 [100/175] skill=open NLL=17.519 top1=0.4230 H=1.569
  D0 [101/175] skill=open NLL=13.362 top1=0.2953 H=2.958
  D0 [102/175] skill=close NLL=16.639 top1=0.9994 H=0.006
  D0 [103/175] skill=fold NLL=11.857 top1=0.6449 H=1.774
  D0 [104/175] skill=fold NLL=12.145 top1=0.2827 H=3.523
  D0 [105/175] skill=pick NLL=14.697 top1=0.5601 H=1.105
  D0 [106/175] skill=turn NLL=15.430 top1=0.9544 H=0.299
  D0 [107/175] skill=move NLL=11.686 top1=0.9472 H=0.416
  D0 [108/175] skill=place NLL=12.705 top1=0.6779 H=1.498
  D0 [109/175] skill=fold NLL=15.310 top1=0.2341 H=4.355
  D0 [110/175] skill=fold NLL=13.394 top1=0.9992 H=0.009
  D0 [111/175] skill=turn NLL=14.215 top1=0.4027 H=1.965
  D0 [112/175] skill=move NLL=15.536 top1=0.2639 H=2.581
  D0 [113/175] skill=move NLL=15.249 top1=0.3764 H=3.168
  D0 [114/175] skill=move NLL=14.842 top1=0.9755 H=0.197
  D0 [115/175] skill=fold NLL=12.591 top1=0.2395 H=3.454
  D0 [116/175] skill=place NLL=14.055 top1=0.2963 H=2.387
  D0 [117/175] skill=move NLL=13.170 top1=0.3243 H=3.020
  D0 [118/175] skill=pick NLL=15.654 top1=0.5849 H=1.578
  D0 [119/175] skill=open NLL=14.839 top1=0.3639 H=3.152
  D0 [120/175] skill=move NLL=17.517 top1=0.9995 H=0.006
  D0 [121/175] skill=move NLL=14.959 top1=0.7305 H=0.743
  D0 [122/175] skill=move NLL=13.460 top1=0.6395 H=1.187
  D0 [123/175] skill=open NLL=11.419 top1=0.1771 H=5.653
  D0 [124/175] skill=fold NLL=11.796 top1=0.3927 H=2.464
  D0 [125/175] skill=pick NLL=15.296 top1=0.8624 H=0.861
  D0 [126/175] skill=close NLL=15.066 top1=0.8022 H=0.731
  D0 [127/175] skill=pick NLL=16.452 top1=0.9615 H=0.265
  D0 [128/175] skill=turn NLL=13.889 top1=0.3954 H=2.794
  D0 [129/175] skill=move NLL=14.287 top1=0.7518 H=1.951
  D0 [130/175] skill=close NLL=15.955 top1=0.3504 H=2.420
  D0 [131/175] skill=turn NLL=13.946 top1=0.4313 H=2.201
  D0 [132/175] skill=pick NLL=14.594 top1=0.5080 H=1.045
  D0 [133/175] skill=pick NLL=15.206 top1=0.8432 H=1.029
  D0 [134/175] skill=turn NLL=15.825 top1=0.1855 H=2.987
  D0 [135/175] skill=move NLL=12.388 top1=0.7299 H=1.601
  D0 [136/175] skill=pick NLL=12.054 top1=0.2934 H=2.100
  D0 [137/175] skill=turn NLL=13.694 top1=0.4326 H=2.461
  D0 [138/175] skill=fold NLL=15.635 top1=0.3860 H=2.070
  D0 [139/175] skill=turn NLL=14.824 top1=0.9823 H=0.107
  D0 [140/175] skill=pick NLL=13.556 top1=0.7054 H=1.187
  D0 [141/175] skill=close NLL=12.035 top1=0.7084 H=1.543
  D0 [142/175] skill=open NLL=12.608 top1=0.7886 H=0.964
  D0 [143/175] skill=close NLL=15.394 top1=0.3986 H=2.221
  D0 [144/175] skill=fold NLL=12.236 top1=0.2746 H=2.555
  D0 [145/175] skill=move NLL=15.602 top1=0.6343 H=1.316
  D0 [146/175] skill=pick NLL=14.501 top1=0.4275 H=2.368
  D0 [147/175] skill=open NLL=15.299 top1=0.5454 H=3.091
  D0 [148/175] skill=move NLL=14.240 top1=0.9035 H=0.581
  D0 [149/175] skill=fold NLL=14.953 top1=0.6764 H=1.693
  D0 [150/175] skill=close NLL=13.064 top1=0.1803 H=4.876
  D0 [151/175] skill=pick NLL=12.917 top1=0.2544 H=3.420
  D0 [152/175] skill=turn NLL=12.197 top1=0.2779 H=3.114
  D0 [153/175] skill=pick NLL=15.879 top1=0.9232 H=0.424
  D0 [154/175] skill=move NLL=14.466 top1=0.1879 H=5.429
  D0 [155/175] skill=open NLL=14.532 top1=0.1274 H=5.543
  D0 [156/175] skill=close NLL=16.468 top1=0.9233 H=0.369
  D0 [157/175] skill=turn NLL=12.795 top1=0.2526 H=2.415
  D0 [158/175] skill=pick NLL=14.146 top1=0.9074 H=0.678
  D0 [159/175] skill=pick NLL=13.287 top1=0.9199 H=0.450
  D0 [160/175] skill=pick NLL=14.207 top1=0.2689 H=1.970
  D0 [161/175] skill=fold NLL=17.343 top1=0.2207 H=3.641
  D0 [162/175] skill=fold NLL=11.384 top1=0.3683 H=2.181
  D0 [163/175] skill=place NLL=18.006 top1=0.9080 H=0.499
  D0 [164/175] skill=open NLL=15.793 top1=0.1770 H=4.485
  D0 [165/175] skill=pick NLL=15.128 top1=0.9562 H=0.220
  D0 [166/175] skill=fold NLL=11.891 top1=0.5305 H=3.251
  D0 [167/175] skill=place NLL=15.317 top1=0.9167 H=0.584
  D0 [168/175] skill=pick NLL=17.927 top1=0.7523 H=2.098
  D0 [169/175] skill=move NLL=15.030 top1=0.8206 H=0.931
  D0 [170/175] skill=turn NLL=15.164 top1=0.7792 H=0.930
  D0 [171/175] skill=turn NLL=12.680 top1=0.6559 H=1.020
  D0 [172/175] skill=pick NLL=13.477 top1=0.2246 H=2.652
  D0 [173/175] skill=close NLL=14.369 top1=0.6924 H=1.858
  D0 [174/175] skill=fold NLL=13.651 top1=0.9248 H=0.431
  D0 [175/175] skill=turn NLL=12.965 top1=0.7985 H=1.056
  Text input_ids length: 338
  Full sequence length (after vision expansion): 338
  Vision tokens (from seq diff): 0, Text tokens: 338
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 338, 'total_seq_len': 338, 'num_vision_tokens': 313, 'num_text_tokens': 338, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 338)], 'text_ranges': [(313, 338)]}
  D1 [1/175] skill=pick H=0.852 top1=0.805
  Text input_ids length: 341
  Full sequence length (after vision expansion): 341
  Vision tokens (from seq diff): 0, Text tokens: 341
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 341, 'total_seq_len': 341, 'num_vision_tokens': 313, 'num_text_tokens': 341, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 341)], 'text_ranges': [(313, 341)]}
  D1 [2/175] skill=pick H=1.751 top1=0.734
  Text input_ids length: 337
  Full sequence length (after vision expansion): 337
  Vision tokens (from seq diff): 0, Text tokens: 337
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 337, 'total_seq_len': 337, 'num_vision_tokens': 313, 'num_text_tokens': 337, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 337)], 'text_ranges': [(313, 337)]}
  D1 [3/175] skill=open H=5.670 top1=0.226
  Text input_ids length: 337
  Full sequence length (after vision expansion): 337
  Vision tokens (from seq diff): 0, Text tokens: 337
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 337, 'total_seq_len': 337, 'num_vision_tokens': 313, 'num_text_tokens': 337, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 337)], 'text_ranges': [(313, 337)]}
  D1 [4/175] skill=close H=0.127 top1=0.990
  Text input_ids length: 337
  Full sequence length (after vision expansion): 337
  Vision tokens (from seq diff): 0, Text tokens: 337
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 337, 'total_seq_len': 337, 'num_vision_tokens': 313, 'num_text_tokens': 337, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 337)], 'text_ranges': [(313, 337)]}
  D1 [5/175] skill=close H=0.548 top1=0.803
  Text input_ids length: 337
  Full sequence length (after vision expansion): 337
  Vision tokens (from seq diff): 0, Text tokens: 337
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 337, 'total_seq_len': 337, 'num_vision_tokens': 313, 'num_text_tokens': 337, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 337)], 'text_ranges': [(313, 337)]}
  D1 [6/175] skill=close H=3.119 top1=0.327
  Text input_ids length: 338
  Full sequence length (after vision expansion): 338
  Vision tokens (from seq diff): 0, Text tokens: 338
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 338, 'total_seq_len': 338, 'num_vision_tokens': 313, 'num_text_tokens': 338, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 338)], 'text_ranges': [(313, 338)]}
  D1 [7/175] skill=turn H=2.204 top1=0.260
  Text input_ids length: 338
  Full sequence length (after vision expansion): 338
  Vision tokens (from seq diff): 0, Text tokens: 338
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 338, 'total_seq_len': 338, 'num_vision_tokens': 313, 'num_text_tokens': 338, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 338)], 'text_ranges': [(313, 338)]}
  D1 [8/175] skill=open H=0.017 top1=0.998
  Text input_ids length: 337
  Full sequence length (after vision expansion): 337
  Vision tokens (from seq diff): 0, Text tokens: 337
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 337, 'total_seq_len': 337, 'num_vision_tokens': 313, 'num_text_tokens': 337, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 337)], 'text_ranges': [(313, 337)]}
  D1 [9/175] skill=open H=1.937 top1=0.552
  Text input_ids length: 343
  Full sequence length (after vision expansion): 343
  Vision tokens (from seq diff): 0, Text tokens: 343
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 343, 'total_seq_len': 343, 'num_vision_tokens': 313, 'num_text_tokens': 343, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 343)], 'text_ranges': [(313, 343)]}
  D1 [10/175] skill=place H=1.879 top1=0.676
  Text input_ids length: 338
  Full sequence length (after vision expansion): 338
  Vision tokens (from seq diff): 0, Text tokens: 338
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 338, 'total_seq_len': 338, 'num_vision_tokens': 313, 'num_text_tokens': 338, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 338)], 'text_ranges': [(313, 338)]}
  D1 [11/175] skill=place H=2.573 top1=0.363
  Text input_ids length: 338
  Full sequence length (after vision expansion): 338
  Vision tokens (from seq diff): 0, Text tokens: 338
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 338, 'total_seq_len': 338, 'num_vision_tokens': 313, 'num_text_tokens': 338, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 338)], 'text_ranges': [(313, 338)]}
  D1 [12/175] skill=turn H=1.931 top1=0.411
  Text input_ids length: 338
  Full sequence length (after vision expansion): 338
  Vision tokens (from seq diff): 0, Text tokens: 338
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 338, 'total_seq_len': 338, 'num_vision_tokens': 313, 'num_text_tokens': 338, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 338)], 'text_ranges': [(313, 338)]}
  D1 [13/175] skill=pick H=2.329 top1=0.483
  Text input_ids length: 338
  Full sequence length (after vision expansion): 338
  Vision tokens (from seq diff): 0, Text tokens: 338
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 338, 'total_seq_len': 338, 'num_vision_tokens': 313, 'num_text_tokens': 338, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 338)], 'text_ranges': [(313, 338)]}
  D1 [14/175] skill=close H=0.021 top1=0.998
  Text input_ids length: 338
  Full sequence length (after vision expansion): 338
  Vision tokens (from seq diff): 0, Text tokens: 338
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 338, 'total_seq_len': 338, 'num_vision_tokens': 313, 'num_text_tokens': 338, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 338)], 'text_ranges': [(313, 338)]}
  D1 [15/175] skill=turn H=1.877 top1=0.512
  Text input_ids length: 341
  Full sequence length (after vision expansion): 341
  Vision tokens (from seq diff): 0, Text tokens: 341
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 341, 'total_seq_len': 341, 'num_vision_tokens': 313, 'num_text_tokens': 341, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 341)], 'text_ranges': [(313, 341)]}
  D1 [16/175] skill=turn H=1.867 top1=0.444
  Text input_ids length: 339
  Full sequence length (after vision expansion): 339
  Vision tokens (from seq diff): 0, Text tokens: 339
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 339, 'total_seq_len': 339, 'num_vision_tokens': 313, 'num_text_tokens': 339, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 339)], 'text_ranges': [(313, 339)]}
  D1 [17/175] skill=move H=1.404 top1=0.628
  Text input_ids length: 338
  Full sequence length (after vision expansion): 338
  Vision tokens (from seq diff): 0, Text tokens: 338
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 338, 'total_seq_len': 338, 'num_vision_tokens': 313, 'num_text_tokens': 338, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 338)], 'text_ranges': [(313, 338)]}
  D1 [18/175] skill=turn H=1.720 top1=0.461
  Text input_ids length: 341
  Full sequence length (after vision expansion): 341
  Vision tokens (from seq diff): 0, Text tokens: 341
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 341, 'total_seq_len': 341, 'num_vision_tokens': 313, 'num_text_tokens': 341, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 341)], 'text_ranges': [(313, 341)]}
  D1 [19/175] skill=turn H=2.794 top1=0.234
  Text input_ids length: 341
  Full sequence length (after vision expansion): 341
  Vision tokens (from seq diff): 0, Text tokens: 341
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 341, 'total_seq_len': 341, 'num_vision_tokens': 313, 'num_text_tokens': 341, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 341)], 'text_ranges': [(313, 341)]}
  D1 [20/175] skill=move H=0.193 top1=0.975
  Text input_ids length: 340
  Full sequence length (after vision expansion): 340
  Vision tokens (from seq diff): 0, Text tokens: 340
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 340, 'total_seq_len': 340, 'num_vision_tokens': 313, 'num_text_tokens': 340, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 340)], 'text_ranges': [(313, 340)]}
  D1 [21/175] skill=open H=1.197 top1=0.698
  Text input_ids length: 348
  Full sequence length (after vision expansion): 348
  Vision tokens (from seq diff): 0, Text tokens: 348
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 348, 'total_seq_len': 348, 'num_vision_tokens': 313, 'num_text_tokens': 348, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 348)], 'text_ranges': [(313, 348)]}
  D1 [22/175] skill=move H=1.376 top1=0.767
  Text input_ids length: 344
  Full sequence length (after vision expansion): 344
  Vision tokens (from seq diff): 0, Text tokens: 344
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 344, 'total_seq_len': 344, 'num_vision_tokens': 313, 'num_text_tokens': 344, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 344)], 'text_ranges': [(313, 344)]}
  D1 [23/175] skill=move H=0.422 top1=0.874
  Text input_ids length: 340
  Full sequence length (after vision expansion): 340
  Vision tokens (from seq diff): 0, Text tokens: 340
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 340, 'total_seq_len': 340, 'num_vision_tokens': 313, 'num_text_tokens': 340, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 340)], 'text_ranges': [(313, 340)]}
  D1 [24/175] skill=fold H=1.563 top1=0.533
  Text input_ids length: 336
  Full sequence length (after vision expansion): 336
  Vision tokens (from seq diff): 0, Text tokens: 336
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 336, 'total_seq_len': 336, 'num_vision_tokens': 313, 'num_text_tokens': 336, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 336)], 'text_ranges': [(313, 336)]}
  D1 [25/175] skill=open H=1.392 top1=0.752
  Text input_ids length: 337
  Full sequence length (after vision expansion): 337
  Vision tokens (from seq diff): 0, Text tokens: 337
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 337, 'total_seq_len': 337, 'num_vision_tokens': 313, 'num_text_tokens': 337, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 337)], 'text_ranges': [(313, 337)]}
  D1 [26/175] skill=open H=2.411 top1=0.512
  Text input_ids length: 337
  Full sequence length (after vision expansion): 337
  Vision tokens (from seq diff): 0, Text tokens: 337
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 337, 'total_seq_len': 337, 'num_vision_tokens': 313, 'num_text_tokens': 337, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 337)], 'text_ranges': [(313, 337)]}
  D1 [27/175] skill=close H=1.272 top1=0.705
  Text input_ids length: 340
  Full sequence length (after vision expansion): 340
  Vision tokens (from seq diff): 0, Text tokens: 340
  (Processor-embedded vision tokens detected: 313 at [0:313])
  Token boundaries: {'vision_start': 0, 'vision_end': 313, 'text_start': 313, 'text_end': 340, 'total_seq_len': 340, 'num_vision_tokens': 313, 'num_text_tokens': 340, 'pre_image_tokens': 0, 'text_query_ranges': [(313, 340)], 'text_ranges': [(313, 340)]}
